diameter,weight,hexcode,fruit
9.23,164.2,#954605,orange
9.33,165.77,#9D4B07,orange
11.68,200.98,#8C3E11,grapefruit
9.3,162.27,#893D18,grapefruit
8.45,147.43,#8D3602,grapefruit
8.45,152.38,#A74E0B,orange
11.19,193.15,#923E17,grapefruit
11.47,197.78,#98470C,grapefruit
12.34,210.43,#9C420E,grapefruit
9.62,170.39,#9E6A02,orange
5.84,114.97,#A15D03,orange
10.77,186.33,#7C4E18,grapefruit
12.07,206.55,#97531B,grapefruit
9.01,160.82,#934F02,orange
10.47,182.18,#8C4F02,orange
8.81,157.57,#9E5B0E,orange
10.03,174.68,#AA4807,grapefruit
12.88,218.86,#90471F,grapefruit
8.56,153.68,#9B590D,orange
9.58,167.25,#994C0D,grapefruit
12.28,217.04,#A74C10,orange
12.34,210.53,#993D12,grapefruit
7.54,138.68,#A65D05,orange
12.55,213.75,#93400B,grapefruit
12.19,208.17,#A73C03,grapefruit
11.68,200.89,#A44510,grapefruit
8.04,146.17,#8E5502,orange
8.76,156.8,#A24902,orange
9.32,165.7,#926302,orange
12.82,218.12,#98491D,grapefruit
13.76,232.92,#914402,grapefruit
11.83,203.3,#9B370D,grapefruit
8.61,154.35,#A05B02,orange
10.97,189.65,#9C5318,grapefruit
8.18,148.28,#AB4918,orange
10.27,178.29,#9F4F0F,grapefruit
12.73,216.69,#9D421D,grapefruit
8.43,151.96,#9B4A02,orange
9.72,170.34,#9E4909,grapefruit
9.97,173.97,#973607,grapefruit
11.38,196.52,#924809,grapefruit
7.97,145.19,#91530B,orange
7.71,140.93,#9B5C02,orange
9.56,167.2,#993117,grapefruit
9.99,174.37,#924B19,grapefruit
10.57,182.65,#90440B,grapefruit
11.01,190.45,#9B3102,grapefruit
8.7,155.93,#9B4B0D,orange
11.18,193.11,#A84517,grapefruit
11.14,192.51,#874906,grapefruit
11.8,202.88,#995314,grapefruit
9.87,174.05,#925F02,orange
10.17,176.88,#9B4A0F,grapefruit
13.62,230.76,#944414,grapefruit
10.19,177.28,#93430A,grapefruit
10.62,183.64,#8F3D1E,grapefruit
9.52,168.84,#9C570D,orange
10.26,179.17,#955F0A,orange
9.28,165.16,#9A5814,orange
11.12,192.15,#7E3502,grapefruit
10.87,188.11,#8C520E,grapefruit
12.23,208.91,#86470B,grapefruit
7.83,142.94,#9B4F1B,orange
5.88,115.23,#9A4916,orange
12.97,220.49,#A84902,grapefruit
7.08,132.67,#A63C02,orange
11.11,191.93,#A54C08,grapefruit
10.73,185.4,#954E10,grapefruit
6.64,125.49,#895302,orange
11.5,198.2,#9D4D1A,grapefruit
8.64,154.81,#974B14,orange
8.82,157.77,#915804,orange
6.42,122.09,#AC5F02,orange
10.56,182.53,#A43A18,grapefruit
9.27,164.95,#A85E02,orange
8.89,158.98,#8A4002,orange
9.99,176.14,#935902,orange
8.79,157.32,#985402,orange
12.04,206.28,#934A02,grapefruit
9.12,162.63,#AA5B0B,orange
10.34,180.28,#9C390B,orange
11.6,199.72,#9B3709,grapefruit
12.64,215.34,#964A07,grapefruit
10.05,175.1,#944716,grapefruit
9.18,160.7,#9E4A15,grapefruit
6.91,129.94,#915318,orange
8.33,150.17,#A25505,orange
10.31,179.91,#A14502,orange
12.27,209.45,#A44816,grapefruit
7.37,136.1,#A34A04,orange
10.82,187.32,#84511D,grapefruit
9.39,166.55,#935903,orange
9.93,173.23,#97560D,grapefruit
10.16,176.77,#824905,grapefruit
7.58,139.14,#8D4902,orange
5.73,113.63,#975602,orange
8.74,151.22,#98550C,grapefruit
12.26,209.36,#AE4D0C,grapefruit
9.41,167.13,#926A02,orange
8.16,148.12,#A94B02,orange
10.71,185.05,#8A4208,grapefruit
11.92,204.73,#993510,grapefruit
12.47,212.45,#983D02,grapefruit
10.65,184.16,#873D19,grapefruit
9.64,170.8,#A14C0D,orange
13.51,228.98,#933F09,grapefruit
12.39,211.07,#903E16,grapefruit
8.69,155.61,#925002,orange
11.78,202.7,#953F09,grapefruit
9.69,169.43,#975703,grapefruit
9.56,169.62,#A15A07,orange
11.98,205.35,#AB4419,grapefruit
10.45,181.06,#9F3311,grapefruit
10.92,188.88,#994B18,grapefruit
7.16,133.59,#994B02,orange
9.16,160.14,#A75104,grapefruit
11.67,200.79,#914702,grapefruit
8.1,147.03,#AA4A02,orange
8.07,146.71,#8E5702,orange
8.65,155.11,#A04809,orange
7.33,135.76,#A05602,orange
12.35,210.6,#945411,grapefruit
11.35,196.07,#9C4A0D,grapefruit
10.54,182.89,#945002,orange
8.24,149.09,#864F13,orange
11.1,190.76,#A04C05,orange
8.15,147.93,#9D5202,orange
8.94,159.89,#A55902,orange
8.82,157.85,#AF6406,orange
9.92,173.01,#925905,grapefruit
8.33,150.25,#904F0E,orange
6.85,128.68,#A55602,orange
10.07,175.45,#9C4719,grapefruit
8.55,153.48,#924F02,orange
12.77,217.41,#9E530D,grapefruit
8.19,148.38,#9C610A,orange
7.88,143.8,#9C4805,orange
6.6,124.88,#9E500D,orange
9.39,166.74,#996019,orange
7.13,133.24,#A84702,orange
7.97,145.11,#A35302,orange
9.85,172.16,#AB4906,grapefruit
6.73,126.93,#976602,orange
12.71,216.47,#A0420F,grapefruit
9.45,167.73,#995108,orange
8.66,155.22,#A86D02,orange
6.47,122.79,#A43D02,orange
11.09,191.71,#A43A21,grapefruit
8.06,146.49,#A25102,orange
6.66,125.79,#99480D,orange
8.92,159.48,#AB4F02,orange
10.37,179.88,#94461E,grapefruit
7.87,143.76,#9B5F02,orange
11.44,197.26,#81520C,grapefruit
8.03,145.98,#976202,orange
12.22,208.67,#8C4E0D,grapefruit
7.56,138.97,#925314,orange
9.45,167.66,#9A500A,orange
8.43,151.99,#8F490E,orange
11.28,194.87,#A24E09,grapefruit
9.72,172.07,#A04002,orange
8.95,160.05,#9C4E0A,orange
6.25,120.09,#A95602,orange
10.67,184.44,#9E4115,grapefruit
10.05,175.1,#A03218,grapefruit
10.0,174.46,#915113,grapefruit
7.22,134.25,#A7560A,orange
8.8,157.41,#9C520D,orange
12.69,215.97,#903607,grapefruit
7.49,137.98,#954502,orange
7.99,145.5,#A04A12,orange
10.69,184.69,#9D470B,grapefruit
12.57,214.21,#8D4106,grapefruit
11.75,200.66,#8E4A04,orange
10.87,188.03,#AA4B02,grapefruit
13.59,230.53,#9D440F,grapefruit
11.75,202.27,#984D02,grapefruit
8.07,146.71,#AD5D02,orange
8.19,148.29,#A15205,orange
7.89,143.95,#925702,orange
8.65,155.13,#A95702,orange
10.18,176.96,#A55312,grapefruit
12.58,214.4,#A34619,grapefruit
5.38,108.16,#A35D08,orange
12.04,206.14,#8C4D19,grapefruit
11.16,192.7,#814519,grapefruit
9.63,170.49,#9F540A,orange
7.28,134.89,#A54D02,orange
11.38,196.52,#A63D17,grapefruit
9.48,165.38,#963D15,grapefruit
10.52,182.12,#8B3B13,grapefruit
11.78,202.65,#974E0C,grapefruit
7.26,134.61,#985502,orange
8.7,155.74,#99460B,orange
10.86,187.87,#964E0B,grapefruit
10.6,183.28,#8B4514,grapefruit
11.95,204.97,#923D0C,grapefruit
7.84,143.04,#A14C0B,orange
10.16,176.7,#A0481E,grapefruit
8.88,158.77,#9A4C02,orange
11.45,197.4,#93400E,grapefruit
13.02,221.11,#8D4C02,grapefruit
9.82,173.49,#956502,orange
9.03,161.2,#975B02,orange
8.77,157.05,#A65003,orange
8.1,147.05,#9D6A02,orange
8.02,145.93,#A05605,orange
11.69,201.18,#984517,grapefruit
11.12,192.17,#934A10,grapefruit
10.38,179.99,#914611,grapefruit
5.4,108.18,#945102,orange
10.82,187.17,#9C4719,grapefruit
8.96,155.69,#924008,grapefruit
11.88,203.92,#99491A,grapefruit
10.16,176.68,#9A400D,grapefruit
11.19,193.29,#934923,grapefruit
8.64,154.75,#BC6402,orange
13.55,229.58,#8D4502,grapefruit
10.72,185.21,#8C3D0D,grapefruit
10.46,181.29,#8F3406,grapefruit
8.48,152.71,#9F5B09,orange
8.32,149.93,#AA550C,orange
7.45,137.35,#A84F10,orange
7.57,139.07,#A14F02,orange
7.03,131.94,#956302,orange
12.19,208.23,#984F10,grapefruit
9.25,164.53,#895A02,orange
7.86,143.38,#A25A0A,orange
7.68,140.58,#B3640A,orange
7.72,141.06,#9F5B06,orange
13.36,226.86,#8C5108,grapefruit
8.73,156.46,#AB4902,orange
11.35,196.09,#883802,grapefruit
10.96,189.53,#8F3E0F,grapefruit
9.44,167.41,#9E4207,orange
6.88,129.46,#A65402,orange
8.21,148.62,#A4490B,orange
9.99,176.11,#C0360E,orange
8.29,149.74,#975308,orange
9.66,168.84,#945216,grapefruit
7.45,137.33,#975707,orange
7.14,133.28,#A4530E,orange
9.03,161.15,#9B4803,orange
11.92,204.56,#92410B,grapefruit
11.63,199.95,#AA4B23,grapefruit
10.38,179.97,#A83C0A,grapefruit
9.03,161.19,#A04E02,orange
7.35,135.96,#8B4F02,orange
8.98,160.41,#A43D02,orange
11.89,204.06,#A14609,grapefruit
12.46,212.1,#8D5807,grapefruit
9.59,169.95,#AE4602,orange
10.82,187.3,#853316,grapefruit
10.21,178.65,#865B02,orange
11.17,192.87,#954D08,grapefruit
8.94,160.0,#975D05,orange
11.62,199.86,#8E5409,grapefruit
10.62,183.93,#976102,orange
10.73,185.36,#904202,grapefruit
7.96,144.98,#956402,orange
9.29,162.03,#9D5016,grapefruit
13.3,225.4,#A54505,grapefruit
7.82,142.69,#934702,orange
12.01,205.83,#7D4004,grapefruit
7.28,135.0,#915209,orange
7.97,145.08,#963F06,orange
11.34,195.84,#913B16,grapefruit
12.84,218.41,#98471D,grapefruit
9.16,163.17,#934C06,orange
9.11,162.52,#AD4702,orange
10.07,176.73,#975502,orange
8.77,156.92,#A45404,orange
11.42,197.05,#994218,grapefruit
12.49,213.07,#985709,grapefruit
10.64,184.21,#A95E04,orange
12.04,206.18,#964D09,grapefruit
10.08,175.54,#915215,grapefruit
7.98,145.43,#AC5002,orange
12.56,214.05,#894A17,grapefruit
12.55,213.68,#A0520C,grapefruit
9.3,165.43,#AB5503,orange
12.1,207.11,#A33D13,grapefruit
5.94,115.46,#9C6D02,orange
8.12,147.46,#995907,orange
13.85,234.7,#A74C17,grapefruit
8.5,152.9,#925203,orange
12.83,218.13,#A03A02,grapefruit
8.69,155.64,#A24A03,orange
10.79,186.59,#96570E,grapefruit
13.79,233.92,#95430E,grapefruit
12.3,209.86,#98420B,grapefruit
12.83,218.3,#913F17,grapefruit
8.33,150.12,#905207,orange
9.81,173.41,#9F6102,orange
13.46,228.39,#A9510D,grapefruit
11.69,201.15,#A34902,grapefruit
10.34,179.22,#A54806,grapefruit
9.94,173.55,#8A4F14,grapefruit
7.12,133.1,#965A02,orange
11.88,203.86,#9F4B15,grapefruit
9.33,165.74,#A0510B,orange
11.16,191.58,#955102,orange
11.41,196.78,#904514,grapefruit
7.45,137.44,#AA570D,orange
10.49,181.68,#912F1C,grapefruit
7.52,138.33,#AD6702,orange
7.45,137.34,#9B5B14,orange
9.04,161.31,#A94F06,orange
11.8,202.88,#93561D,grapefruit
11.88,203.86,#874718,grapefruit
9.95,173.61,#954502,grapefruit
7.49,138.0,#905402,orange
12.07,206.58,#9B4309,grapefruit
11.22,193.81,#9D3C02,grapefruit
12.48,212.75,#905409,grapefruit
10.1,177.26,#994F0B,orange
10.14,177.69,#A04A07,orange
10.59,183.05,#944E02,grapefruit
12.68,215.93,#A03B02,grapefruit
10.29,178.69,#8B5405,grapefruit
10.07,176.76,#A44E06,orange
11.77,202.45,#AC4213,grapefruit
9.06,161.68,#A35807,orange
11.85,205.44,#A05B05,orange
9.94,175.37,#8D4D13,orange
12.72,216.57,#A43910,grapefruit
10.78,186.41,#8D3907,grapefruit
10.78,185.83,#A55B02,orange
7.98,145.33,#A95103,orange
12.18,208.0,#A75115,grapefruit
12.18,208.11,#A7450E,grapefruit
11.69,201.12,#8A510A,grapefruit
9.29,165.17,#A14913,orange
13.03,221.17,#933E04,grapefruit
11.21,193.63,#944324,grapefruit
11.33,195.68,#90370D,grapefruit
12.38,210.9,#A53C0D,grapefruit
9.77,172.68,#AC4D0E,orange
10.61,183.45,#A05402,grapefruit
9.31,162.5,#A74F16,grapefruit
11.24,194.32,#884612,grapefruit
5.51,109.59,#9D5203,orange
11.07,191.2,#96481B,grapefruit
8.95,160.09,#945109,orange
11.54,198.82,#AD420F,grapefruit
10.84,187.68,#92380D,grapefruit
11.55,199.0,#82461B,grapefruit
10.99,190.02,#7E5F0F,grapefruit
10.7,184.87,#A4440E,grapefruit
12.32,210.16,#96411A,grapefruit
11.32,195.6,#954003,grapefruit
7.79,142.13,#A5640F,orange
10.67,184.49,#983C04,grapefruit
12.11,207.18,#9A5610,grapefruit
10.23,177.91,#9A3B1C,grapefruit
11.96,205.11,#983609,grapefruit
8.12,147.5,#9E4902,orange
14.35,242.2,#944B16,grapefruit
12.04,206.23,#893E0D,grapefruit
9.64,170.69,#984C02,orange
11.78,202.75,#A54714,grapefruit
8.2,148.52,#946502,orange
13.08,221.85,#974102,grapefruit
11.43,197.06,#98431A,grapefruit
10.34,179.25,#9F4602,grapefruit
8.29,149.61,#AA5402,orange
8.71,156.15,#A25507,orange
10.98,189.84,#984E0D,grapefruit
9.27,161.72,#9F410D,grapefruit
11.35,196.05,#8C4904,grapefruit
12.32,210.16,#994B07,grapefruit
7.81,142.43,#945702,orange
8.24,149.05,#AA5302,orange
9.91,172.96,#8A4A18,grapefruit
8.01,145.82,#9C5F14,orange
6.53,123.5,#B25E02,orange
9.17,160.44,#9D500D,grapefruit
6.74,126.94,#95560A,orange
10.53,182.28,#884420,grapefruit
10.51,181.86,#A25302,grapefruit
12.16,207.92,#933E18,grapefruit
8.72,156.16,#896009,orange
9.76,172.46,#996A02,orange
8.48,152.74,#954F04,orange
11.35,196.08,#8F4B11,grapefruit
11.42,196.97,#9B3808,grapefruit
13.07,221.73,#9D6202,grapefruit
9.64,170.75,#935504,orange
9.44,167.37,#9E5509,orange
13.77,233.37,#9A4E15,grapefruit
8.99,160.58,#9F600D,orange
8.15,147.95,#A4490C,orange
10.46,181.39,#A43602,grapefruit
9.78,173.2,#9A5102,orange
9.05,161.54,#8A5712,orange
10.33,178.99,#794618,grapefruit
13.32,225.84,#984609,grapefruit
9.26,164.67,#9F5202,orange
9.04,161.33,#A44802,orange
12.34,210.39,#814011,grapefruit
9.82,171.6,#994502,grapefruit
10.95,189.38,#964812,grapefruit
11.88,203.86,#A4521C,grapefruit
9.1,162.39,#AA600A,orange
7.52,138.39,#924C02,orange
10.07,176.92,#A55506,orange
7.46,137.54,#A14B02,orange
11.2,193.33,#985011,grapefruit
13.01,221.05,#A24302,grapefruit
11.05,190.96,#8A4015,grapefruit
7.57,139.05,#935405,orange
6.65,125.68,#944E0F,orange
11.25,194.43,#935003,grapefruit
7.83,142.91,#9D5A02,orange
10.89,188.55,#9E4902,grapefruit
10.97,189.63,#AE4302,grapefruit
6.98,131.11,#A14A02,orange
10.58,183.33,#AC4F02,orange
10.01,176.22,#A85514,orange
10.54,182.41,#9A3C19,grapefruit
8.47,152.68,#815902,orange
7.76,141.58,#A45412,orange
11.27,194.65,#8D5513,grapefruit
13.58,230.23,#924202,grapefruit
12.57,214.15,#9C4318,grapefruit
10.79,186.59,#A53F0E,grapefruit
7.37,136.07,#934210,orange
10.89,188.51,#9E460E,grapefruit
8.25,149.24,#934A02,orange
12.27,209.43,#A04A06,grapefruit
12.63,215.28,#9E3D20,grapefruit
8.28,149.6,#905D02,orange
12.68,215.86,#9F5B1E,grapefruit
10.44,180.85,#95490E,grapefruit
13.16,223.44,#823519,grapefruit
10.1,177.21,#8F4D16,orange
11.11,191.89,#A3511A,grapefruit
8.53,153.3,#985402,orange
7.69,140.7,#A34D02,orange
8.17,148.23,#AE6102,orange
8.58,153.86,#8F4C02,orange
9.13,162.79,#A05902,orange
10.7,184.97,#A94213,grapefruit
11.31,195.4,#913505,grapefruit
8.9,159.08,#995C0F,orange
8.12,147.37,#A45005,orange
7.41,136.56,#8E5A0C,orange
10.72,185.2,#99451C,grapefruit
11.81,203.04,#914C17,grapefruit
12.62,215.16,#A3630A,grapefruit
11.82,203.09,#9F5402,grapefruit
13.66,231.46,#A74502,grapefruit
8.33,150.26,#A6430F,orange
10.23,178.81,#9F5313,orange
10.86,187.9,#A13B0D,grapefruit
5.95,115.79,#A94507,orange
7.38,136.23,#8B5C12,orange
12.29,209.76,#8F5212,grapefruit
9.4,166.93,#9B3B15,orange
8.59,153.98,#985102,orange
9.94,175.36,#975402,orange
11.16,192.68,#97441B,grapefruit
10.84,187.57,#A43506,grapefruit
10.33,180.28,#A54818,orange
8.21,148.73,#965402,orange
7.69,140.66,#8D5414,orange
7.51,138.16,#9D4508,orange
13.65,231.26,#A9420C,grapefruit
12.8,217.97,#A05102,grapefruit
10.44,181.97,#8B6103,orange
8.88,158.81,#994302,orange
9.26,164.72,#9A520D,orange
9.13,159.56,#99500B,grapefruit
9.8,171.44,#954414,grapefruit
8.29,149.68,#9E5A06,orange
6.1,117.28,#974811,orange
11.68,200.93,#93460F,grapefruit
14.31,241.33,#92451D,grapefruit
7.71,140.89,#9C4F04,orange
7.73,141.14,#946502,orange
7.57,139.08,#9F4F06,orange
12.08,206.72,#985402,grapefruit
9.5,168.45,#A35602,orange
11.1,191.77,#9F4511,grapefruit
12.46,212.27,#974529,grapefruit
10.98,189.87,#964A02,grapefruit
10.65,184.31,#9A4808,orange
4.78,103.06,#AA5202,orange
8.76,156.79,#A24A0D,orange
8.03,145.97,#9D5202,orange
7.92,144.41,#986102,orange
10.8,186.77,#9F3A15,grapefruit
10.61,183.39,#913D17,grapefruit
9.54,169.18,#A25307,orange
6.03,116.41,#9E4902,orange
12.17,207.97,#974013,grapefruit
10.81,187.02,#945811,grapefruit
12.22,208.68,#7C4F10,grapefruit
11.63,200.03,#8B5715,grapefruit
7.09,132.76,#9C460C,orange
11.6,199.59,#995A0D,grapefruit
10.95,189.45,#9A4C1E,grapefruit
9.51,168.64,#AD5802,orange
10.38,180.93,#AB6904,orange
6.77,127.3,#A1480C,orange
9.56,169.49,#8D4508,orange
11.32,195.6,#A54305,grapefruit
13.13,222.82,#A0411A,grapefruit
9.86,174.03,#A23F02,orange
6.93,130.49,#B45605,orange
12.55,213.7,#9B4703,grapefruit
10.39,181.29,#A95005,orange
12.57,214.25,#944D0F,grapefruit
12.76,217.28,#894609,grapefruit
8.58,153.91,#8F440E,orange
7.36,136.07,#886202,orange
12.46,212.19,#9A4E16,grapefruit
9.23,164.18,#AD4706,orange
8.67,155.37,#B25202,orange
12.2,208.29,#965311,grapefruit
6.58,124.17,#A56B12,orange
8.3,146.61,#9E4710,grapefruit
11.51,198.49,#A25102,grapefruit
10.52,182.7,#9F4502,orange
8.56,153.69,#915602,orange
11.1,191.79,#9B500C,grapefruit
10.92,188.92,#953513,grapefruit
11.7,201.42,#90450A,grapefruit
8.58,153.86,#B05A02,orange
11.42,196.97,#9C4015,grapefruit
9.64,168.44,#983811,grapefruit
12.56,214.0,#91440D,grapefruit
11.62,199.83,#8E4211,grapefruit
12.52,213.42,#944103,grapefruit
13.03,221.19,#AC4E13,grapefruit
7.72,140.97,#8C4506,orange
10.57,182.78,#90470A,grapefruit
9.93,175.21,#9F4B18,orange
7.48,137.89,#984606,orange
8.64,155.04,#AD5B02,orange
7.79,142.12,#A15802,orange
11.67,200.86,#964415,grapefruit
12.16,207.88,#973E06,grapefruit
13.15,222.98,#AA4B15,grapefruit
7.06,132.26,#925502,orange
9.45,165.05,#954A0F,grapefruit
11.63,200.05,#914717,grapefruit
11.65,200.43,#A74A1B,grapefruit
7.43,136.9,#8D5204,orange
6.43,122.27,#926205,orange
7.35,135.94,#A14207,orange
9.1,162.33,#BC4E04,orange
8.12,147.38,#A7580C,orange
6.95,130.8,#954C02,orange
7.71,140.9,#A15502,orange
8.83,158.06,#A55502,orange
10.31,180.05,#9A5F02,orange
10.85,187.83,#8E4016,grapefruit
8.74,156.47,#975304,orange
9.64,170.76,#865202,orange
11.73,201.86,#944916,grapefruit
6.7,126.5,#A85003,orange
10.0,174.46,#A6381F,grapefruit
10.64,183.91,#A14B02,grapefruit
6.91,130.15,#A45522,orange
6.21,119.63,#A04504,orange
13.11,222.47,#913A02,grapefruit
14.87,249.55,#9B5302,grapefruit
7.11,133.02,#8F5602,orange
11.11,192.07,#9A4622,grapefruit
10.91,188.75,#845B0D,grapefruit
7.28,134.99,#A34D02,orange
8.35,150.54,#9D460D,orange
10.55,182.51,#A65A1A,grapefruit
11.62,199.85,#9B3C04,grapefruit
11.5,198.16,#914506,grapefruit
8.36,150.72,#985514,orange
11.8,203.94,#9F4C0B,orange
10.81,186.91,#90490E,grapefruit
11.32,195.55,#975D0E,grapefruit
14.96,252.28,#983A09,grapefruit
12.0,205.44,#A74B0A,grapefruit
7.36,136.02,#993A02,orange
9.81,171.53,#92590E,grapefruit
7.65,140.02,#9E4602,orange
12.31,210.01,#7E4513,grapefruit
8.56,153.64,#B05204,orange
7.93,144.53,#87500C,orange
9.81,173.47,#A34402,orange
10.25,179.06,#A15902,orange
8.06,146.45,#994602,orange
9.3,165.3,#9A4F02,orange
12.12,207.36,#8D4110,grapefruit
9.11,162.41,#AA6704,orange
10.84,187.61,#A63B24,grapefruit
12.59,214.49,#993A10,grapefruit
8.94,159.89,#A25F02,orange
10.09,175.59,#8E4117,grapefruit
12.7,216.25,#984602,grapefruit
11.69,201.18,#95510D,grapefruit
8.11,147.32,#994705,orange
11.5,198.2,#9B3C09,grapefruit
12.06,206.46,#9E5015,grapefruit
8.6,154.2,#995102,orange
10.09,177.18,#9B5216,orange
9.64,170.74,#A65302,orange
8.16,148.07,#A24E06,orange
12.87,218.72,#9F3E09,grapefruit
12.34,210.47,#843912,grapefruit
12.32,210.15,#A64A0E,grapefruit
10.02,174.52,#96400D,grapefruit
11.92,204.61,#8A3E11,grapefruit
8.92,159.5,#A95802,orange
13.13,222.84,#8A5004,grapefruit
9.53,166.29,#8A4617,grapefruit
8.9,159.14,#A75907,orange
11.76,202.4,#A14D0B,grapefruit
8.67,155.36,#9E500D,orange
10.05,175.09,#964C1A,grapefruit
10.83,187.55,#904613,grapefruit
9.0,160.62,#945707,orange
8.65,155.07,#A25D10,orange
12.69,216.03,#9C5D11,grapefruit
10.63,183.69,#87460D,grapefruit
12.55,213.66,#90410E,grapefruit
8.01,145.74,#AC5E02,orange
11.19,193.17,#965107,grapefruit
11.88,204.01,#994011,grapefruit
8.2,148.54,#A15F06,orange
5.48,109.37,#805704,orange
9.23,164.29,#AD5902,orange
10.91,188.81,#A73C21,grapefruit
9.16,163.18,#985D05,orange
10.92,188.92,#8C491A,grapefruit
10.69,184.75,#903D0B,grapefruit
11.3,195.16,#943F0E,grapefruit
11.63,199.96,#924E0E,grapefruit
9.1,158.51,#95521F,grapefruit
9.7,171.71,#925B02,orange
11.9,204.18,#906209,grapefruit
8.64,154.81,#934F0D,orange
12.44,211.88,#A7391F,grapefruit
8.55,153.4,#9A5A0E,orange
8.13,147.58,#A35003,orange
10.74,185.37,#9F4602,orange
11.62,199.85,#A3480F,grapefruit
9.38,163.94,#804911,grapefruit
11.19,193.24,#944223,grapefruit
10.64,184.24,#9D6102,orange
9.11,162.5,#A75104,orange
11.08,191.6,#834F08,grapefruit
8.32,150.01,#8F5C11,orange
7.93,144.56,#A45710,orange
7.15,133.4,#AC4912,orange
11.55,198.97,#94461B,grapefruit
10.91,188.4,#9B5202,orange
9.93,175.1,#934F1A,orange
10.85,187.79,#9A3E1E,grapefruit
10.12,177.38,#9B4104,orange
11.29,195.04,#B04813,grapefruit
12.36,210.79,#944C0B,grapefruit
9.01,160.75,#A55F02,orange
10.13,177.59,#AB4B0E,orange
6.14,117.93,#AD5908,orange
11.31,195.38,#A5491A,grapefruit
8.81,157.67,#A35502,orange
7.69,140.66,#9A5308,orange
13.01,221.04,#974C12,grapefruit
12.38,211.0,#953B02,grapefruit
9.52,166.15,#853606,grapefruit
8.94,159.87,#B0440B,orange
6.65,125.75,#964C19,orange
10.5,181.74,#854D21,grapefruit
8.69,155.58,#9F5913,orange
9.89,172.75,#964115,grapefruit
8.59,154.09,#9B4918,orange
9.68,171.27,#9C4E02,orange
7.46,137.62,#9C5B0A,orange
10.58,182.94,#894304,grapefruit
10.53,182.24,#9E4A0E,grapefruit
12.08,206.73,#884C07,grapefruit
11.44,197.14,#973D0A,grapefruit
9.73,172.27,#9F5A0C,orange
7.94,144.62,#954B12,orange
11.37,196.34,#964B13,grapefruit
12.37,210.86,#9E451C,grapefruit
11.9,204.27,#A63312,grapefruit
9.76,172.5,#9D4402,orange
13.91,235.77,#8D391D,grapefruit
9.2,163.77,#A54D02,orange
12.53,213.44,#A93B0F,grapefruit
6.49,123.07,#925B02,orange
9.23,164.18,#A55904,orange
11.41,196.83,#A64B0D,grapefruit
8.52,153.16,#A44502,orange
12.76,217.19,#91420B,grapefruit
6.38,121.55,#9C5011,orange
6.32,121.27,#A75A06,orange
8.86,158.41,#9E570C,orange
7.57,139.11,#8E470A,orange
9.22,164.01,#AB490F,orange
6.84,128.31,#A85C08,orange
13.38,227.17,#8B411D,grapefruit
10.8,186.25,#913F02,orange
9.36,166.1,#90480A,orange
8.91,159.39,#A05A02,orange
8.81,157.63,#9F5D02,orange
12.65,215.55,#9D3B10,grapefruit
9.04,161.38,#8A4911,orange
10.45,181.06,#8F3F10,grapefruit
11.63,200.1,#954B0B,grapefruit
8.02,145.9,#A25404,orange
10.06,176.72,#A14B09,orange
7.39,136.28,#9C4B10,orange
8.76,156.72,#9F5E02,orange
9.83,173.62,#A04C0E,orange
11.58,198.36,#9F500D,orange
8.82,157.84,#9E501F,orange
10.36,179.66,#964414,grapefruit
12.76,217.21,#934804,grapefruit
9.4,166.95,#955602,orange
8.12,147.46,#975804,orange
8.05,146.35,#BC6309,orange
7.86,143.38,#9B5313,orange
11.78,202.74,#804A07,grapefruit
11.39,196.66,#944F21,grapefruit
11.85,203.53,#A04119,grapefruit
10.64,184.0,#A33E18,grapefruit
8.54,153.38,#A64E02,orange
12.27,209.52,#974F02,grapefruit
7.14,133.27,#9C620B,orange
11.93,204.86,#884813,grapefruit
9.58,167.4,#914D02,grapefruit
10.38,179.99,#89420D,grapefruit
6.62,125.16,#9E5C02,orange
10.01,174.51,#A75A1C,grapefruit
6.92,130.2,#9E5008,orange
10.43,180.78,#A34304,grapefruit
7.54,138.67,#846F02,orange
11.49,195.78,#9D5003,orange
10.47,181.4,#914704,grapefruit
11.06,191.08,#AB430E,grapefruit
13.07,221.61,#7F410A,grapefruit
13.7,232.1,#944B17,grapefruit
11.09,191.63,#9C4815,grapefruit
13.06,221.44,#944C02,grapefruit
12.28,209.61,#883D08,grapefruit
11.11,192.04,#884B16,grapefruit
13.04,221.26,#995206,grapefruit
11.0,190.21,#974210,grapefruit
10.26,178.25,#9C391B,grapefruit
14.12,239.22,#AA4C10,grapefruit
8.78,157.24,#BB6306,orange
12.02,205.91,#964812,grapefruit
10.09,175.64,#953D10,grapefruit
10.17,178.38,#9F5002,orange
11.47,197.72,#9A4403,grapefruit
11.91,204.37,#8D4603,grapefruit
5.84,114.96,#985411,orange
10.72,185.21,#874E17,grapefruit
13.46,228.39,#9F2F18,grapefruit
8.42,151.75,#AB4114,orange
9.62,167.97,#9E4A0F,grapefruit
11.41,195.09,#995002,orange
7.07,132.38,#944A06,orange
7.84,143.13,#AF4605,orange
7.19,133.86,#944610,orange
6.02,116.4,#A04608,orange
11.17,192.78,#9D5020,grapefruit
12.48,212.71,#A24312,grapefruit
9.81,173.34,#935710,orange
13.15,223.15,#A44803,grapefruit
12.73,216.77,#974403,grapefruit
8.73,156.45,#9C580F,orange
